DSP,JCAD,RhoA,RhoC,TJP1,$RhoA_antagonistic,$RhoC_antagonistic,perb,exp_name,delta,phenotype
0.48620099999999994,0.5022,0.5301659999999999,0.55019,0.501401,7.0,7.0,WT,Competition_Landscape,0.020024000000000042,Normal
0.508801,0.508801,0.5656639999999998,0.5040530000000001,0.49259899999999995,7.0,8.0,WT,Competition_Landscape,-0.06161099999999975,Normal
0.49319999999999986,0.506799,0.5659770000000001,0.501706,0.499399,7.0,9.0,WT,Competition_Landscape,-0.06427100000000008,Normal
0.504601,0.5024000000000001,0.5849390000000001,0.479732,0.49079999999999996,7.0,10.0,WT,Competition_Landscape,-0.1052070000000001,Normal
0.5027969999999999,0.4968000000000001,0.592564,0.468587,0.49279900000000004,7.0,11.0,WT,Competition_Landscape,-0.123977,Normal
0.5001979999999999,0.5041990000000001,0.6001700000000001,0.456432,0.498401,7.0,12.0,WT,Competition_Landscape,-0.1437380000000001,Normal
0.499003,0.49960200000000005,0.613703,0.44396800000000003,0.5016020000000001,7.0,13.0,WT,Competition_Landscape,-0.16973499999999997,Normal
0.5044000000000001,0.5008000000000001,0.625094,0.42506600000000005,0.4908,7.0,14.0,WT,Competition_Landscape,-0.20002799999999998,Normal
0.48819999999999997,0.497002,0.343317,0.802057,0.5012,8.0,1.0,WT,Competition_Landscape,0.45874000000000004,Hyper
0.4944,0.49399899999999997,0.396718,0.7340320000000001,0.4949990000000001,8.0,2.0,WT,Competition_Landscape,0.3373140000000001,Hyper
0.5075989999999999,0.495199,0.438042,0.67231,0.4979969999999999,8.0,3.0,WT,Competition_Landscape,0.23426799999999998,Normal
0.5032000000000001,0.511001,0.467387,0.638427,0.49540100000000004,8.0,4.0,WT,Competition_Landscape,0.17103999999999997,Normal
0.4982000000000001,0.48120100000000005,0.478536,0.616588,0.5016010000000001,8.0,5.0,WT,Competition_Landscape,0.138052,Normal
0.493999,0.4814,0.498723,0.5843720000000001,0.5094,8.0,6.0,WT,Competition_Landscape,0.08564900000000009,Normal
0.495398,0.49159900000000006,0.5167700000000001,0.5505289999999999,0.496,8.0,7.0,WT,Competition_Landscape,0.03375899999999987,Normal
0.5152,0.486,0.5304340000000001,0.537071,0.49839999999999995,8.0,8.0,WT,Competition_Landscape,0.006636999999999893,Normal
0.504201,0.5064010000000001,0.554952,0.51184,0.507201,8.0,9.0,WT,Competition_Landscape,-0.04311200000000004,Normal
0.520799,0.5,0.564288,0.48837700000000006,0.49499899999999997,8.0,10.0,WT,Competition_Landscape,-0.07591099999999995,Normal
0.497803,0.487402,0.567028,0.4811910000000001,0.49260200000000004,8.0,11.0,WT,Competition_Landscape,-0.08583699999999989,Normal
0.5087990000000001,0.49639900000000003,0.587466,0.459741,0.4884,8.0,12.0,WT,Competition_Landscape,-0.12772500000000003,Normal
0.504999,0.5044,0.592711,0.458983,0.508999,8.0,13.0,WT,Competition_Landscape,-0.133728,Normal
0.49580100000000005,0.5120020000000001,0.60269,0.44286299999999995,0.5038020000000001,8.0,14.0,WT,Competition_Landscape,-0.159827,Normal
0.502601,0.49099999999999994,0.33643999999999996,0.8045120000000001,0.5044,9.0,1.0,WT,Competition_Landscape,0.46807200000000015,Hyper
0.503801,0.5088,0.382264,0.738993,0.494201,9.0,2.0,WT,Competition_Landscape,0.356729,Hyper
0.505801,0.5038,0.409794,0.695716,0.5093989999999999,9.0,3.0,WT,Competition_Landscape,0.285922,Hyper
0.5054010000000001,0.502602,0.43856199999999995,0.648299,0.496602,9.0,4.0,WT,Competition_Landscape,0.209737,Normal
0.49339999999999995,0.500202,0.4512919999999999,0.625903,0.508399,9.0,5.0,WT,Competition_Landscape,0.17461100000000007,Normal
0.49719899999999995,0.502199,0.485039,0.5885059999999999,0.49999899999999997,9.0,6.0,WT,Competition_Landscape,0.10346699999999986,Normal
0.48900099999999996,0.4966,0.4906559999999999,0.571808,0.49500099999999997,9.0,7.0,WT,Competition_Landscape,0.08115200000000006,Normal
0.4972,0.508001,0.513282,0.548477,0.501601,9.0,8.0,WT,Competition_Landscape,0.035194999999999976,Normal
0.49199899999999996,0.49319900000000005,0.520613,0.535879,0.502801,9.0,9.0,WT,Competition_Landscape,0.015266000000000002,Normal
0.49960000000000004,0.497599,0.5493760000000001,0.506477,0.505001,9.0,10.0,WT,Competition_Landscape,-0.04289900000000013,Normal
0.5024,0.5074,0.547011,0.5050890000000001,0.503199,9.0,11.0,WT,Competition_Landscape,-0.041921999999999904,Normal
0.4964,0.5072,0.560582,0.488965,0.5053989999999999,9.0,12.0,WT,Competition_Landscape,-0.07161700000000004,Normal
0.5016,0.502799,0.5731620000000001,0.462077,0.496799,9.0,13.0,WT,Competition_Landscape,-0.11108500000000004,Normal
0.5005999999999999,0.5018,0.5674809999999999,0.47162899999999996,0.514,9.0,14.0,WT,Competition_Landscape,-0.09585199999999994,Normal
0.49399899999999997,0.4908,0.31585799999999997,0.8190100000000001,0.5132,10.0,1.0,WT,Competition_Landscape,0.5031520000000002,Hyper
