DSP,JCAD,RhoA,RhoC,TJP1,$RhoA_amp,$RhoA_antagonistic,perb,exp_name,delta,phenotype
0.48440099999999997,0.494601,0.465557,0.667852,0.507802,45.0,8.0,WT,Escape_Threshold_RhoA,0.202295,Normal
0.504802,0.491401,0.455353,0.6776359999999999,0.496201,45.0,9.0,WT,Escape_Threshold_RhoA,0.2222829999999999,Normal
0.5006,0.49919899999999995,0.452675,0.6816349999999999,0.492599,45.0,10.0,WT,Escape_Threshold_RhoA,0.22895999999999989,Normal
0.48839999999999995,0.5073989999999999,0.433319,0.689446,0.5042,45.0,11.0,WT,Escape_Threshold_RhoA,0.256127,Hyper
0.489198,0.493599,0.424594,0.6957570000000001,0.493798,45.0,12.0,WT,Escape_Threshold_RhoA,0.27116300000000004,Hyper
0.4888,0.49199800000000005,0.397327,0.716509,0.51,45.0,13.0,WT,Escape_Threshold_RhoA,0.31918199999999997,Hyper
0.48919799999999997,0.496998,0.39493199999999995,0.710597,0.500798,45.0,14.0,WT,Escape_Threshold_RhoA,0.3156650000000001,Hyper
0.484996,0.513398,0.7574129999999999,0.513714,0.5063989999999999,50.0,1.0,WT,Escape_Threshold_RhoA,-0.2436989999999999,Normal
0.49820000000000003,0.49379900000000004,0.6821300000000001,0.544582,0.487599,50.0,2.0,WT,Escape_Threshold_RhoA,-0.13754800000000011,Normal
0.513399,0.4792,0.6377160000000001,0.5824050000000001,0.501399,50.0,3.0,WT,Escape_Threshold_RhoA,-0.055311,Normal
0.5133989999999999,0.5147989999999999,0.599074,0.602934,0.498199,50.0,4.0,WT,Escape_Threshold_RhoA,0.0038599999999999746,Normal
0.507202,0.49220200000000003,0.550034,0.6228200000000002,0.5038,50.0,5.0,WT,Escape_Threshold_RhoA,0.07278600000000013,Normal
0.49440200000000006,0.499801,0.519,0.6323660000000001,0.48780100000000004,50.0,6.0,WT,Escape_Threshold_RhoA,0.11336600000000008,Normal
0.48999899999999996,0.5052,0.488778,0.664549,0.49599899999999997,50.0,7.0,WT,Escape_Threshold_RhoA,0.17577099999999996,Normal
