DSP,JCAD,RhoA,RhoC,TJP1,$RhoC_amp,$RhoC_antagonistic,perb,exp_name,delta,phenotype
0.49940100000000004,0.502201,0.7056069999999999,0.40159199999999995,0.494001,30.0,13.0,WT,Escape_Threshold_RhoC,-0.3040149999999999,Failed
0.49659899999999996,0.5042,0.707522,0.392213,0.4968,30.0,14.0,WT,Escape_Threshold_RhoC,-0.315309,Failed
0.489599,0.504599,0.5158909999999999,0.766674,0.493799,35.0,1.0,WT,Escape_Threshold_RhoC,0.2507830000000001,Hyper
0.502,0.4921979999999999,0.565957,0.671565,0.492,35.0,2.0,WT,Escape_Threshold_RhoC,0.10560799999999992,Normal
0.519798,0.509199,0.5974029999999999,0.6149519999999999,0.5053989999999999,35.0,3.0,WT,Escape_Threshold_RhoC,0.017549000000000037,Normal
0.4922,0.5063989999999999,0.6046259999999999,0.5907399999999999,0.506,35.0,4.0,WT,Escape_Threshold_RhoC,-0.013885999999999954,Normal
0.5058010000000001,0.499601,0.630409,0.5375249999999999,0.4988,35.0,5.0,WT,Escape_Threshold_RhoC,-0.09288400000000008,Normal
0.511798,0.500599,0.666505,0.5072409999999999,0.49560000000000004,35.0,6.0,WT,Escape_Threshold_RhoC,-0.15926400000000007,Normal
0.502399,0.501802,0.6591889999999998,0.49504300000000007,0.5057980000000001,35.0,7.0,WT,Escape_Threshold_RhoC,-0.16414599999999974,Normal
0.5095989999999999,0.501399,0.653696,0.485896,0.5069980000000001,35.0,8.0,WT,Escape_Threshold_RhoC,-0.16780000000000006,Normal
0.4996,0.49940200000000007,0.675069,0.45089000000000007,0.48160000000000003,35.0,9.0,WT,Escape_Threshold_RhoC,-0.22417899999999996,Normal
0.4987999999999999,0.5054,0.6840170000000001,0.44450699999999993,0.500601,35.0,10.0,WT,Escape_Threshold_RhoC,-0.23951000000000017,Normal
0.49720000000000003,0.505201,0.689016,0.42931699999999995,0.49899799999999994,35.0,11.0,WT,Escape_Threshold_RhoC,-0.259699,Failed
0.49759999999999993,0.4973989999999999,0.7064079999999999,0.40642100000000003,0.498399,35.0,12.0,WT,Escape_Threshold_RhoC,-0.2999869999999999,Failed
0.504001,0.4916,0.6968679999999999,0.41096099999999997,0.49839900000000004,35.0,13.0,WT,Escape_Threshold_RhoC,-0.28590699999999997,Failed
0.5003980000000001,0.497199,0.713173,0.38843099999999997,0.495599,35.0,14.0,WT,Escape_Threshold_RhoC,-0.324742,Failed
0.508201,0.4978,0.521976,0.7654639999999999,0.5055999999999999,40.0,1.0,WT,Escape_Threshold_RhoC,0.24348799999999993,Normal
0.5018,0.506601,0.558393,0.676127,0.4988,40.0,2.0,WT,Escape_Threshold_RhoC,0.117734,Normal
0.502402,0.507201,0.581528,0.630213,0.507401,40.0,3.0,WT,Escape_Threshold_RhoC,0.04868499999999998,Normal
0.49100000000000005,0.49880100000000005,0.606351,0.576374,0.49080099999999993,40.0,4.0,WT,Escape_Threshold_RhoC,-0.02997699999999992,Normal
0.4998,0.492401,0.63301,0.546839,0.49660000000000004,40.0,5.0,WT,Escape_Threshold_RhoC,-0.086171,Normal
0.5136010000000001,0.5036,0.647028,0.529824,0.4962010000000001,40.0,6.0,WT,Escape_Threshold_RhoC,-0.11720400000000009,Normal
0.5016,0.5037990000000001,0.665543,0.48420199999999997,0.48340000000000005,40.0,7.0,WT,Escape_Threshold_RhoC,-0.18134100000000003,Normal
0.500601,0.503399,0.6686300000000002,0.46842000000000006,0.486399,40.0,8.0,WT,Escape_Threshold_RhoC,-0.2002100000000001,Normal
0.5162019999999999,0.510399,0.681865,0.46318,0.5024,40.0,9.0,WT,Escape_Threshold_RhoC,-0.21868500000000007,Normal
0.5102,0.49279999999999996,0.693609,0.439095,0.502599,40.0,10.0,WT,Escape_Threshold_RhoC,-0.254514,Failed
0.5026,0.4966000000000001,0.6849689999999999,0.440173,0.49480100000000005,40.0,11.0,WT,Escape_Threshold_RhoC,-0.24479599999999996,Normal
0.5088030000000001,0.510399,0.705759,0.420505,0.499802,40.0,12.0,WT,Escape_Threshold_RhoC,-0.285254,Failed
0.501202,0.495203,0.70445,0.41483299999999995,0.501203,40.0,13.0,WT,Escape_Threshold_RhoC,-0.28961700000000007,Failed
0.503201,0.493201,0.704926,0.40689600000000004,0.509402,40.0,14.0,WT,Escape_Threshold_RhoC,-0.29803,Failed
0.5005999999999999,0.505999,0.517612,0.773075,0.5079980000000001,45.0,1.0,WT,Escape_Threshold_RhoC,0.255463,Hyper
0.490599,0.5221990000000001,0.558268,0.6775,0.487599,45.0,2.0,WT,Escape_Threshold_RhoC,0.119232,Normal
0.4827989999999999,0.513199,0.572536,0.6352460000000001,0.503799,45.0,3.0,WT,Escape_Threshold_RhoC,0.06271000000000004,Normal
0.49539999999999995,0.4928,0.607529,0.586724,0.5142,45.0,4.0,WT,Escape_Threshold_RhoC,-0.020804999999999962,Normal
0.504401,0.5034,0.6326880000000001,0.549347,0.5062,45.0,5.0,WT,Escape_Threshold_RhoC,-0.08334100000000011,Normal
0.4973989999999999,0.49739900000000004,0.6424699999999999,0.52152,0.5045999999999999,45.0,6.0,WT,Escape_Threshold_RhoC,-0.12094999999999989,Normal
0.5112,0.517199,0.663431,0.493334,0.494399,45.0,7.0,WT,Escape_Threshold_RhoC,-0.170097,Normal
0.5084,0.496801,0.676906,0.46829299999999996,0.48380100000000004,45.0,8.0,WT,Escape_Threshold_RhoC,-0.20861300000000005,Normal
0.49760099999999996,0.48760000000000003,0.68755,0.451136,0.5046,45.0,9.0,WT,Escape_Threshold_RhoC,-0.236414,Normal
0.5034000000000001,0.508201,0.678219,0.4539600000000001,0.5128010000000001,45.0,10.0,WT,Escape_Threshold_RhoC,-0.22425899999999993,Normal
0.495602,0.5034010000000001,0.6763709999999999,0.446667,0.5056010000000001,45.0,11.0,WT,Escape_Threshold_RhoC,-0.22970399999999996,Normal
0.505998,0.490599,0.696029,0.42870299999999995,0.494799,45.0,12.0,WT,Escape_Threshold_RhoC,-0.26732600000000006,Failed
0.510002,0.49860100000000007,0.6959440000000001,0.423269,0.49780100000000005,45.0,13.0,WT,Escape_Threshold_RhoC,-0.2726750000000001,Failed
0.5012,0.509999,0.707013,0.40857,0.49620000000000003,45.0,14.0,WT,Escape_Threshold_RhoC,-0.298443,Failed
0.502399,0.494399,0.518535,0.7701870000000001,0.5054,50.0,1.0,WT,Escape_Threshold_RhoC,0.2516520000000001,Hyper
0.4998,0.49840200000000007,0.5577880000000001,0.685123,0.500201,50.0,2.0,WT,Escape_Threshold_RhoC,0.12733499999999998,Normal
0.503601,0.503801,0.588352,0.610323,0.49700000000000005,50.0,3.0,WT,Escape_Threshold_RhoC,0.021970999999999963,Normal
0.49499999999999994,0.510598,0.603664,0.5783639999999999,0.48539699999999997,50.0,4.0,WT,Escape_Threshold_RhoC,-0.0253000000000001,Normal
0.5018,0.504601,0.635465,0.540287,0.491201,50.0,5.0,WT,Escape_Threshold_RhoC,-0.09517799999999998,Normal
0.5094010000000001,0.493601,0.6536580000000001,0.5075000000000001,0.500601,50.0,6.0,WT,Escape_Threshold_RhoC,-0.146158,Normal
0.49940099999999993,0.505,0.6444980000000001,0.49829199999999996,0.49600099999999997,50.0,7.0,WT,Escape_Threshold_RhoC,-0.14620600000000017,Normal
0.4974,0.506999,0.6654410000000001,0.47965099999999994,0.492399,50.0,8.0,WT,Escape_Threshold_RhoC,-0.18579000000000012,Normal
0.501599,0.5102,0.6757150000000001,0.45957500000000007,0.497,50.0,9.0,WT,Escape_Threshold_RhoC,-0.21614,Normal
0.507398,0.49139999999999995,0.688447,0.438365,0.488399,50.0,10.0,WT,Escape_Threshold_RhoC,-0.250082,Failed
0.494198,0.504799,0.695336,0.435451,0.5022000000000001,50.0,11.0,WT,Escape_Threshold_RhoC,-0.259885,Failed
0.490601,0.4974009999999999,0.682935,0.436772,0.5124,50.0,12.0,WT,Escape_Threshold_RhoC,-0.24616299999999997,Normal
0.4898,0.4986,0.693135,0.41515599999999997,0.499799,50.0,13.0,WT,Escape_Threshold_RhoC,-0.277979,Failed
0.494602,0.509001,0.693458,0.411983,0.496001,50.0,14.0,WT,Escape_Threshold_RhoC,-0.28147500000000003,Failed
0.4978000000000001,0.507599,0.5205799999999998,0.7605949999999999,0.497,55.0,1.0,WT,Escape_Threshold_RhoC,0.2400150000000001,Normal
0.48480100000000004,0.4868,0.5634750000000001,0.6681,0.4966000000000001,55.0,2.0,WT,Escape_Threshold_RhoC,0.10462499999999997,Normal
0.498197,0.496399,0.590808,0.6144520000000001,0.491999,55.0,3.0,WT,Escape_Threshold_RhoC,0.02364400000000011,Normal
0.504,0.49959899999999996,0.6181949999999999,0.574357,0.5038009999999999,55.0,4.0,WT,Escape_Threshold_RhoC,-0.04383799999999993,Normal
0.49959899999999996,0.5061990000000001,0.6166830000000001,0.56044,0.506398,55.0,5.0,WT,Escape_Threshold_RhoC,-0.05624300000000004,Normal
0.49679899999999994,0.5003989999999999,0.6416280000000001,0.5119339999999999,0.4947989999999999,55.0,6.0,WT,Escape_Threshold_RhoC,-0.1296940000000002,Normal
0.4999980000000001,0.496998,0.654468,0.4953100000000001,0.48779900000000004,55.0,7.0,WT,Escape_Threshold_RhoC,-0.15915799999999997,Normal
0.5043989999999999,0.500399,0.6665559999999999,0.48319399999999996,0.504399,55.0,8.0,WT,Escape_Threshold_RhoC,-0.18336199999999997,Normal
0.5104,0.505399,0.6675260000000001,0.47436500000000004,0.499799,55.0,9.0,WT,Escape_Threshold_RhoC,-0.19316100000000003,Normal
0.488399,0.49759999999999993,0.688352,0.44743399999999994,0.49179999999999996,55.0,10.0,WT,Escape_Threshold_RhoC,-0.24091800000000002,Normal
0.507,0.5002,0.6867350000000001,0.43962100000000004,0.503,55.0,11.0,WT,Escape_Threshold_RhoC,-0.24711400000000006,Normal
0.49319799999999997,0.49699899999999997,0.687368,0.43773999999999996,0.5032,55.0,12.0,WT,Escape_Threshold_RhoC,-0.24962800000000002,Normal
0.49540000000000006,0.493,0.698215,0.42285799999999996,0.504401,55.0,13.0,WT,Escape_Threshold_RhoC,-0.2753570000000001,Failed
0.5016,0.489,0.7227629999999999,0.39652499999999996,0.4926000000000001,55.0,14.0,WT,Escape_Threshold_RhoC,-0.326238,Failed
,0.5012,0.312454,0.7968149999999999,0.500599,5.0,1.0,DSP,Escape_Threshold_RhoC,0.48436099999999993,Hyper
,0.5062000000000001,0.378439,0.714402,0.490799,5.0,2.0,DSP,Escape_Threshold_RhoC,0.33596299999999996,Hyper
,0.5020009999999999,0.40430000000000005,0.666078,0.492,5.0,3.0,DSP,Escape_Threshold_RhoC,0.2617779999999999,Hyper
,0.491201,0.443917,0.6147,0.49260099999999996,5.0,4.0,DSP,Escape_Threshold_RhoC,0.17078300000000002,Normal
,0.506202,0.461354,0.597845,0.5056010000000001,5.0,5.0,DSP,Escape_Threshold_RhoC,0.13649099999999997,Normal
,0.501598,0.483126,0.550313,0.505999,5.0,6.0,DSP,Escape_Threshold_RhoC,0.06718700000000005,Normal
,0.507198,0.508513,0.517649,0.499199,5.0,7.0,DSP,Escape_Threshold_RhoC,0.009136000000000033,Normal
,0.501798,0.5341119999999999,0.509203,0.5044000000000001,5.0,8.0,DSP,Escape_Threshold_RhoC,-0.02490899999999996,Normal
,0.5035999999999999,0.540396,0.493999,0.502201,5.0,9.0,DSP,Escape_Threshold_RhoC,-0.046396999999999966,Normal
,0.49599999999999994,0.5559970000000001,0.469331,0.5044,5.0,10.0,DSP,Escape_Threshold_RhoC,-0.08666600000000008,Normal
,0.492,0.568395,0.44798800000000005,0.507,5.0,11.0,DSP,Escape_Threshold_RhoC,-0.12040699999999993,Normal
,0.493201,0.586743,0.42788099999999996,0.49839999999999995,5.0,12.0,DSP,Escape_Threshold_RhoC,-0.15886200000000006,Normal
,0.49719800000000003,0.587411,0.41401699999999997,0.504599,5.0,13.0,DSP,Escape_Threshold_RhoC,-0.17339400000000005,Normal
,0.4964,0.585237,0.415996,0.504599,5.0,14.0,DSP,Escape_Threshold_RhoC,-0.16924100000000003,Normal
