DSP,JCAD,RhoA,RhoC,TJP1,$RhoA_amp,$RhoA_mod,perb,exp_name,delta,phenotype
0.506799,,0.690082,0.394749,,15.0,5.0,TJP1_JCAD,Amplification_Gain_RhoA,-0.29533299999999996,Failed
0.487401,,0.69082,0.395822,,15.0,6.0,TJP1_JCAD,Amplification_Gain_RhoA,-0.294998,Failed
0.493,,0.685944,0.398226,,15.0,7.0,TJP1_JCAD,Amplification_Gain_RhoA,-0.287718,Failed
0.49739999999999995,,0.52915,0.49186799999999997,,20.0,1.0,TJP1_JCAD,Amplification_Gain_RhoA,-0.03728200000000004,Normal
0.5148,,0.6103109999999999,0.425702,,20.0,2.0,TJP1_JCAD,Amplification_Gain_RhoA,-0.1846089999999999,Normal
0.502201,,0.641375,0.424537,,20.0,3.0,TJP1_JCAD,Amplification_Gain_RhoA,-0.21683800000000003,Normal
0.498799,,0.6704640000000001,0.39907000000000004,,20.0,4.0,TJP1_JCAD,Amplification_Gain_RhoA,-0.271394,Failed
0.49239900000000003,,0.675689,0.40152800000000005,,20.0,5.0,TJP1_JCAD,Amplification_Gain_RhoA,-0.27416099999999993,Failed
0.49739999999999995,,0.69028,0.39744499999999994,,20.0,6.0,TJP1_JCAD,Amplification_Gain_RhoA,-0.29283500000000007,Failed
0.508799,,0.7099949999999999,0.37727900000000003,,20.0,7.0,TJP1_JCAD,Amplification_Gain_RhoA,-0.3327159999999999,Failed
0.5008,,0.529614,0.493419,,25.0,1.0,TJP1_JCAD,Amplification_Gain_RhoA,-0.03619500000000003,Normal
0.493601,,0.606466,0.443534,,25.0,2.0,TJP1_JCAD,Amplification_Gain_RhoA,-0.16293199999999997,Normal
0.5018,,0.644101,0.413429,,25.0,3.0,TJP1_JCAD,Amplification_Gain_RhoA,-0.23067200000000004,Normal
0.4984,,0.667225,0.407388,,25.0,4.0,TJP1_JCAD,Amplification_Gain_RhoA,-0.259837,Failed
0.48560000000000003,,0.671817,0.40303900000000004,,25.0,5.0,TJP1_JCAD,Amplification_Gain_RhoA,-0.26877799999999996,Failed
0.5017999999999999,,0.678735,0.398654,,25.0,6.0,TJP1_JCAD,Amplification_Gain_RhoA,-0.28008099999999997,Failed
0.49939900000000004,,0.705218,0.380771,,25.0,7.0,TJP1_JCAD,Amplification_Gain_RhoA,-0.324447,Failed
0.4972,,0.522375,0.492818,,30.0,1.0,TJP1_JCAD,Amplification_Gain_RhoA,-0.029557000000000055,Normal
0.5052,,0.613931,0.437003,,30.0,2.0,TJP1_JCAD,Amplification_Gain_RhoA,-0.17692800000000003,Normal
0.498801,,0.637211,0.42495099999999997,,30.0,3.0,TJP1_JCAD,Amplification_Gain_RhoA,-0.21226,Normal
0.49279999999999996,,0.664269,0.404627,,30.0,4.0,TJP1_JCAD,Amplification_Gain_RhoA,-0.259642,Failed
0.49600000000000005,,0.6877260000000001,0.405549,,30.0,5.0,TJP1_JCAD,Amplification_Gain_RhoA,-0.28217700000000007,Failed
0.509001,,0.6876580000000001,0.396736,,30.0,6.0,TJP1_JCAD,Amplification_Gain_RhoA,-0.2909220000000001,Failed
0.500799,,0.693428,0.391425,,30.0,7.0,TJP1_JCAD,Amplification_Gain_RhoA,-0.302003,Failed
0.49920000000000003,,0.5364720000000001,0.49071299999999995,,35.0,1.0,TJP1_JCAD,Amplification_Gain_RhoA,-0.045759000000000105,Normal
0.4952,,0.616896,0.426805,,35.0,2.0,TJP1_JCAD,Amplification_Gain_RhoA,-0.190091,Normal
0.49439999999999995,,0.652738,0.411671,,35.0,3.0,TJP1_JCAD,Amplification_Gain_RhoA,-0.24106700000000003,Normal
0.497599,,0.6629579999999999,0.411445,,35.0,4.0,TJP1_JCAD,Amplification_Gain_RhoA,-0.25151299999999993,Failed
0.491401,,0.678771,0.403229,,35.0,5.0,TJP1_JCAD,Amplification_Gain_RhoA,-0.275542,Failed
0.511599,,0.687368,0.38371999999999995,,35.0,6.0,TJP1_JCAD,Amplification_Gain_RhoA,-0.30364800000000003,Failed
0.5064,,0.707577,0.375787,,35.0,7.0,TJP1_JCAD,Amplification_Gain_RhoA,-0.33179000000000003,Failed
