DSP,JCAD,RhoA,RhoC,TJP1,$RhoA_antagonistic,$RhoC_antagonistic,perb,exp_name,delta,phenotype
0.500801,0.48940000000000006,0.4369080000000001,0.6384110000000001,0.5086010000000001,11.0,5.0,WT,Competition_Landscape,0.201503,Normal
0.486,0.49699999999999994,0.440309,0.626522,0.5012,11.0,6.0,WT,Competition_Landscape,0.18621300000000002,Normal
0.5004000000000001,0.5051990000000001,0.46461700000000006,0.5962210000000001,0.493199,11.0,7.0,WT,Competition_Landscape,0.13160400000000005,Normal
0.503401,0.49439999999999995,0.49396299999999993,0.5657230000000001,0.507601,11.0,8.0,WT,Competition_Landscape,0.07176000000000016,Normal
0.5115989999999999,0.489,0.492777,0.555106,0.5002,11.0,9.0,WT,Competition_Landscape,0.06232899999999997,Normal
0.504398,0.493199,0.503043,0.541329,0.5068,11.0,10.0,WT,Competition_Landscape,0.03828599999999993,Normal
0.503803,0.498601,0.530389,0.51509,0.4874,11.0,11.0,WT,Competition_Landscape,-0.015298999999999952,Normal
0.505,0.49319899999999994,0.535122,0.513267,0.5014000000000001,11.0,12.0,WT,Competition_Landscape,-0.021854999999999958,Normal
0.4858,0.49519799999999997,0.5300020000000001,0.4983949999999999,0.5031979999999999,11.0,13.0,WT,Competition_Landscape,-0.03160700000000016,Normal
0.497799,0.49239799999999995,0.553141,0.48325499999999993,0.5159999999999999,11.0,14.0,WT,Competition_Landscape,-0.06988600000000006,Normal
0.49999899999999997,0.5085999999999999,0.291818,0.8200049999999999,0.5008009999999999,12.0,1.0,WT,Competition_Landscape,0.5281869999999999,Hyper
0.5018009999999999,0.508401,0.331727,0.759291,0.501801,12.0,2.0,WT,Competition_Landscape,0.42756400000000006,Hyper
0.5066,0.49960000000000004,0.370689,0.7201290000000001,0.506399,12.0,3.0,WT,Competition_Landscape,0.34944000000000014,Hyper
0.49919999999999987,0.5201979999999999,0.39825299999999997,0.68007,0.503999,12.0,4.0,WT,Competition_Landscape,0.281817,Hyper
0.498,0.494801,0.41720999999999997,0.644582,0.498401,12.0,5.0,WT,Competition_Landscape,0.22737200000000002,Normal
0.5141990000000001,0.48780100000000004,0.44326299999999996,0.6213460000000001,0.5103989999999999,12.0,6.0,WT,Competition_Landscape,0.1780830000000001,Normal
0.49740000000000006,0.499601,0.442573,0.613385,0.507002,12.0,7.0,WT,Competition_Landscape,0.17081199999999996,Normal
0.49560100000000007,0.49940000000000007,0.45865300000000003,0.585747,0.49500000000000005,12.0,8.0,WT,Competition_Landscape,0.12709399999999998,Normal
0.49480100000000005,0.5084000000000001,0.489348,0.556454,0.5002,12.0,9.0,WT,Competition_Landscape,0.067106,Normal
0.494802,0.49440100000000003,0.501158,0.534182,0.494401,12.0,10.0,WT,Competition_Landscape,0.03302400000000005,Normal
0.49799899999999997,0.496399,0.51284,0.518716,0.47859799999999997,12.0,11.0,WT,Competition_Landscape,0.005875999999999992,Normal
0.4934,0.500399,0.5115240000000001,0.5234629999999999,0.502198,12.0,12.0,WT,Competition_Landscape,0.011938999999999811,Normal
0.510201,0.518601,0.537599,0.49644099999999997,0.5104,12.0,13.0,WT,Competition_Landscape,-0.04115800000000008,Normal
0.4992,0.488,0.532044,0.49421000000000004,0.4925989999999999,12.0,14.0,WT,Competition_Landscape,-0.03783399999999992,Normal
0.501602,0.48380199999999995,0.27618799999999993,0.829671,0.501401,13.0,1.0,WT,Competition_Landscape,0.5534830000000002,Hyper
0.5129969999999999,0.489198,0.32581,0.7636210000000001,0.505798,13.0,2.0,WT,Competition_Landscape,0.4378110000000001,Hyper
0.5040000000000001,0.5044,0.369703,0.703827,0.491402,13.0,3.0,WT,Competition_Landscape,0.334124,Hyper
0.5044,0.5031999999999999,0.38136799999999993,0.6903449999999999,0.5124,13.0,4.0,WT,Competition_Landscape,0.30897699999999995,Hyper
0.4981999999999999,0.500399,0.39224299999999995,0.6661109999999999,0.500198,13.0,5.0,WT,Competition_Landscape,0.27386799999999994,Hyper
0.490999,0.49079900000000004,0.41807700000000003,0.6359419999999999,0.5094,13.0,6.0,WT,Competition_Landscape,0.21786499999999986,Normal
0.4942019999999999,0.5004,0.43562199999999995,0.6142529999999999,0.492799,13.0,7.0,WT,Competition_Landscape,0.17863099999999998,Normal
0.509202,0.5044000000000001,0.46171100000000004,0.5835440000000001,0.4960010000000001,13.0,8.0,WT,Competition_Landscape,0.12183300000000002,Normal
0.5037999999999999,0.502399,0.47266699999999995,0.572703,0.503998,13.0,9.0,WT,Competition_Landscape,0.10003600000000001,Normal
0.49700000000000005,0.4882,0.48246700000000003,0.5596190000000001,0.5036,13.0,10.0,WT,Competition_Landscape,0.07715200000000005,Normal
0.5102,0.49000200000000005,0.506857,0.5305300000000001,0.479201,13.0,11.0,WT,Competition_Landscape,0.023673000000000055,Normal
0.49339999999999995,0.5092,0.5075799999999999,0.530023,0.49979999999999997,13.0,12.0,WT,Competition_Landscape,0.022443000000000102,Normal
0.49900100000000003,0.505401,0.509551,0.520706,0.518403,13.0,13.0,WT,Competition_Landscape,0.011155000000000026,Normal
0.490201,0.486801,0.52593,0.49662300000000004,0.511601,13.0,14.0,WT,Competition_Landscape,-0.029306999999999972,Normal
0.49760000000000004,0.487799,0.26929000000000003,0.8304689999999999,0.507799,14.0,1.0,WT,Competition_Landscape,0.5611789999999999,Hyper
0.507599,0.499999,0.310881,0.772213,0.4984009999999999,14.0,2.0,WT,Competition_Landscape,0.461332,Hyper
0.498798,0.493199,0.349006,0.722276,0.49539900000000003,14.0,3.0,WT,Competition_Landscape,0.37327000000000005,Hyper
0.49399999999999994,0.500601,0.35278899999999996,0.6999569999999999,0.5044019999999999,14.0,4.0,WT,Competition_Landscape,0.347168,Hyper
0.49639999999999995,0.508202,0.382948,0.674073,0.500601,14.0,5.0,WT,Competition_Landscape,0.291125,Hyper
0.4989969999999999,0.5037969999999999,0.420973,0.632582,0.49179899999999993,14.0,6.0,WT,Competition_Landscape,0.211609,Normal
0.5022,0.5052,0.436835,0.611712,0.482202,14.0,7.0,WT,Competition_Landscape,0.17487700000000006,Normal
0.512,0.5038,0.44300500000000004,0.6041910000000001,0.5118010000000001,14.0,8.0,WT,Competition_Landscape,0.1611860000000001,Normal
0.486198,0.5050000000000001,0.4617860000000001,0.5712800000000001,0.48480000000000006,14.0,9.0,WT,Competition_Landscape,0.10949400000000004,Normal
0.492802,0.500603,0.471213,0.5640480000000001,0.5000020000000001,14.0,10.0,WT,Competition_Landscape,0.09283500000000011,Normal
0.49380100000000005,0.49340100000000003,0.47829900000000003,0.556467,0.4988,14.0,11.0,WT,Competition_Landscape,0.07816800000000002,Normal
0.501599,0.5012,0.491328,0.548476,0.509399,14.0,12.0,WT,Competition_Landscape,0.05714799999999998,Normal
0.497201,0.5012009999999999,0.5008779999999999,0.5293739999999999,0.504601,14.0,13.0,WT,Competition_Landscape,0.028495999999999966,Normal
0.49500199999999994,0.493601,0.508929,0.516418,0.5019990000000001,14.0,14.0,WT,Competition_Landscape,0.007489000000000079,Normal
