DSP,JCAD,RhoA,RhoC,TJP1,p_name,p_value,perb,delta,phenotype
0.498201,0.5096,0.576664,0.6345090000000001,0.4996030000000001,$RhoC_mod,7.0,WT,0.057845000000000146,Normal
0.500399,0.499398,0.670479,0.439868,0.49799999999999994,$RhoC_basal,0.1,WT,-0.23061100000000007,Normal
0.497601,0.4934010000000001,0.6135330000000001,0.566087,0.4958,$RhoC_basal,0.6,WT,-0.0474460000000001,Normal
0.494,0.496602,0.578974,0.6381279999999999,0.49360099999999996,$RhoC_basal,1.1,WT,0.05915399999999993,Normal
0.497199,0.507999,0.527297,0.7598459999999999,0.5062,$RhoC_antagonistic,1.0,WT,0.2325489999999999,Normal
0.49759999999999993,0.503199,0.575059,0.653235,0.5024,$RhoC_antagonistic,2.0,WT,0.07817600000000002,Normal
0.49859999999999993,0.496201,0.578479,0.6118649999999999,0.5134019999999999,$RhoC_antagonistic,3.0,WT,0.033385999999999916,Normal
0.5058,0.49779999999999996,0.625467,0.539626,0.49539999999999995,$RhoC_antagonistic,4.0,WT,-0.08584099999999995,Normal
0.490601,0.4948,0.634027,0.508465,0.501401,$RhoC_antagonistic,5.0,WT,-0.12556200000000006,Normal
0.48979999999999996,0.5006,0.6532700000000001,0.48385899999999993,0.5012,$RhoC_antagonistic,6.0,WT,-0.1694110000000002,Normal
0.49119699999999994,0.4873979999999999,0.670837,0.45096499999999995,0.500599,$RhoC_antagonistic,7.0,WT,-0.21987200000000007,Normal
0.500399,0.49739999999999995,0.6894699999999999,0.42965499999999995,0.494199,$RhoC_antagonistic,8.0,WT,-0.25981499999999996,Failed
0.503601,0.509002,0.6999420000000001,0.4085730000000001,0.49380099999999993,$RhoC_antagonistic,9.0,WT,-0.291369,Failed
0.5065999999999999,0.5038009999999999,0.706933,0.38567900000000005,0.4964,$RhoC_antagonistic,10.0,WT,-0.321254,Failed
0.483399,0.49640000000000006,0.706171,0.3829989999999999,0.49160099999999995,$RhoC_antagonistic,11.0,WT,-0.32317200000000007,Failed
0.500599,0.498399,0.719567,0.35954899999999995,0.504601,$RhoC_antagonistic,12.0,WT,-0.360018,Failed
0.4972,0.5015989999999999,0.7169999999999999,0.360636,0.494599,$RhoC_antagonistic,13.0,WT,-0.35636399999999985,Failed
0.49419899999999994,0.511999,0.727871,0.341051,0.4915989999999999,$RhoC_antagonistic,14.0,WT,-0.38682000000000005,Failed
0.5004000000000001,0.503,0.598315,0.6118750000000001,0.5017999999999999,$RhoC_decay,0.05,WT,0.013560000000000016,Normal
0.495,0.49699899999999997,0.591904,0.59421,0.49840000000000007,$RhoC_decay,0.15000000000000002,WT,0.0023060000000000302,Normal
0.5098,0.499997,0.602088,0.589207,0.5083989999999999,$RhoC_decay,0.25000000000000006,WT,-0.01288099999999992,Normal
0.5009990000000001,0.4969990000000001,0.6019,0.591511,0.504398,$RhoC_decay,0.3500000000000001,WT,-0.010388999999999982,Normal
0.5197990000000001,0.506198,0.618218,0.561552,0.49539900000000003,$RhoC_decay,0.45000000000000007,WT,-0.056665999999999994,Normal
0.502598,0.49659699999999996,0.5966779999999999,0.562062,0.510598,$RhoC_decay,0.55,WT,-0.03461599999999998,Normal
0.492599,0.489799,0.6018990000000001,0.5456920000000001,0.497199,$RhoC_decay,0.6500000000000001,WT,-0.05620700000000001,Normal
0.494,0.48500099999999996,0.600114,0.539992,0.4936,$RhoC_decay,0.7500000000000001,WT,-0.06012200000000001,Normal
0.487401,0.5056010000000001,0.6097,0.525887,0.4980000000000001,$RhoC_decay,0.8500000000000002,WT,-0.08381300000000003,Normal
0.500799,0.504001,0.6144740000000001,0.521739,0.493001,$RhoC_decay,0.9500000000000002,WT,-0.09273500000000012,Normal
,0.511401,0.308587,0.8032220000000001,0.497,$RhoC_antagonistic,1.0,DSP,0.4946350000000001,Hyper
,0.5005999999999999,0.357275,0.740006,0.510799,$RhoC_antagonistic,2.0,DSP,0.38273100000000004,Hyper
,0.501198,0.39633500000000005,0.6868930000000001,0.5012,$RhoC_antagonistic,3.0,DSP,0.29055800000000004,Hyper
,0.4918,0.43120099999999995,0.6437099999999999,0.5118,$RhoC_antagonistic,4.0,DSP,0.21250899999999995,Normal
,0.49760000000000004,0.449932,0.6089760000000001,0.4978,$RhoC_antagonistic,5.0,DSP,0.15904400000000007,Normal
,0.49199999999999994,0.47504099999999994,0.5771390000000001,0.49959899999999996,$RhoC_antagonistic,6.0,DSP,0.10209800000000013,Normal
,0.5089999999999999,0.48660800000000004,0.561048,0.502199,$RhoC_antagonistic,7.0,DSP,0.07443999999999995,Normal
,0.486199,0.5109360000000001,0.53138,0.5094,$RhoC_antagonistic,8.0,DSP,0.020443999999999907,Normal
,0.4952,0.52096,0.514483,0.4944,$RhoC_antagonistic,9.0,DSP,-0.006476999999999955,Normal
,0.5054000000000001,0.516115,0.49856100000000003,0.4862000000000001,$RhoC_antagonistic,10.0,DSP,-0.01755399999999996,Normal
,0.5092,0.5421689999999999,0.4841289999999999,0.507599,$RhoC_antagonistic,11.0,DSP,-0.05803999999999998,Normal
,0.510399,0.559091,0.470493,0.501601,$RhoC_antagonistic,12.0,DSP,-0.08859800000000001,Normal
,0.5008,0.566798,0.45805199999999996,0.4972,$RhoC_antagonistic,13.0,DSP,-0.10874600000000006,Normal
,0.5104,0.56915,0.447279,0.5044,$RhoC_antagonistic,14.0,DSP,-0.12187100000000006,Normal
,0.500801,0.43191699999999994,0.6225130000000001,0.48919999999999997,$RhoC_mod,1.0,DSP,0.19059600000000015,Normal
,0.48720099999999994,0.407638,0.667649,0.5052,$RhoC_mod,2.0,DSP,0.26001100000000005,Hyper
,0.4988,0.396459,0.687953,0.494801,$RhoC_mod,3.0,DSP,0.29149400000000003,Hyper
,0.5087999999999999,0.38962900000000006,0.699253,0.488199,$RhoC_mod,4.0,DSP,0.30962399999999995,Hyper
,0.49539999999999995,0.39493300000000003,0.7088669999999999,0.4948,$RhoC_mod,5.0,DSP,0.3139339999999999,Hyper
,0.485,0.380594,0.7017680000000001,0.500601,$RhoC_mod,6.0,DSP,0.32117400000000007,Hyper
,0.501399,0.38057199999999997,0.704763,0.493199,$RhoC_mod,7.0,DSP,0.32419100000000006,Hyper
,0.507999,0.40408600000000006,0.6664510000000001,0.49939999999999996,$RhoC_amp,5.0,DSP,0.26236500000000007,Hyper
,0.49239999999999995,0.392157,0.687639,0.512,$RhoC_amp,10.0,DSP,0.295482,Hyper
,0.495799,0.39764299999999997,0.688672,0.5108010000000001,$RhoC_amp,15.0,DSP,0.291029,Hyper
,0.5032,0.38402400000000003,0.687812,0.499599,$RhoC_amp,20.0,DSP,0.30378799999999995,Hyper
,0.4908,0.39372200000000007,0.688745,0.5104,$RhoC_amp,25.0,DSP,0.295023,Hyper
,0.48960000000000004,0.375761,0.6965809999999999,0.508999,$RhoC_amp,30.0,DSP,0.3208199999999999,Hyper
,0.4932000000000001,0.381985,0.696217,0.501401,$RhoC_amp,35.0,DSP,0.31423199999999996,Hyper
,0.506,0.396782,0.690768,0.4988,$RhoC_amp,40.0,DSP,0.293986,Hyper
,0.48900000000000005,0.40190000000000003,0.68283,0.4897990000000001,$RhoC_amp,45.0,DSP,0.28093,Hyper
,0.5052,0.389936,0.7023480000000001,0.511,$RhoC_amp,50.0,DSP,0.3124120000000001,Hyper
,0.496799,0.376919,0.70391,0.5073989999999999,$RhoC_amp,55.0,DSP,0.32699100000000003,Hyper
,0.495599,0.412855,0.71299,0.5100009999999999,$RhoC_decay,0.05,DSP,0.300135,Hyper
,0.5038,0.40588100000000005,0.6910249999999999,0.4974,$RhoC_decay,0.15000000000000002,DSP,0.28514399999999984,Hyper
,0.5054009999999999,0.390264,0.672366,0.499401,$RhoC_decay,0.25000000000000006,DSP,0.282102,Hyper
,0.5032,0.41005699999999995,0.645522,0.490799,$RhoC_decay,0.3500000000000001,DSP,0.2354650000000001,Normal
,0.49219999999999997,0.40721399999999996,0.634108,0.4958,$RhoC_decay,0.45000000000000007,DSP,0.22689400000000004,Normal
,0.493001,0.41941600000000007,0.6080289999999999,0.497201,$RhoC_decay,0.55,DSP,0.18861299999999986,Normal
,0.494401,0.41792199999999996,0.5909279999999999,0.5008,$RhoC_decay,0.6500000000000001,DSP,0.17300599999999994,Normal
,0.510399,0.40738800000000003,0.589115,0.5084009999999999,$RhoC_decay,0.7500000000000001,DSP,0.18172700000000003,Normal
,0.502399,0.42363,0.567414,0.49340000000000006,$RhoC_decay,0.8500000000000002,DSP,0.14378399999999997,Normal
,0.494,0.425753,0.566794,0.5064,$RhoC_decay,0.9500000000000002,DSP,0.14104100000000003,Normal
0.49139800000000006,0.5067980000000001,0.804339,0.313477,,$RhoA_antagonistic,1.0,TJP1,-0.490862,Failed
0.502802,0.496201,0.732993,0.354647,,$RhoA_antagonistic,2.0,TJP1,-0.378346,Failed
0.5114,0.48360099999999995,0.6874679999999999,0.403354,,$RhoA_antagonistic,3.0,TJP1,-0.28411399999999987,Failed
0.5050000000000001,0.48600000000000004,0.63404,0.42820899999999995,,$RhoA_antagonistic,4.0,TJP1,-0.2058310000000001,Normal
0.504,0.49839999999999995,0.603201,0.45687799999999995,,$RhoA_antagonistic,5.0,TJP1,-0.14632300000000004,Normal
0.48740100000000003,0.503001,0.564517,0.488009,,$RhoA_antagonistic,6.0,TJP1,-0.07650800000000002,Normal
