step,time,perturbation,id,position,tensile_load,shear_load,DSP,TJP1,JCAD,rhoa,rhoc,classification
1499,149.9,DSP_JCAD_DKO,4,"(np.float64(-21.69), np.float64(0.0))",0.0,0.0,0.0,0.5104342004493836,0.0,0.29453921193708626,0.5972955240988643,polar
1499,149.9,DSP_JCAD_DKO,5,"(np.float64(-18.15), np.float64(-3.86))",0.0,0.0,0.0,0.47153693401366026,0.0,0.29998482923808756,0.5887381254830052,polar
1499,149.9,DSP_JCAD_DKO,6,"(np.float64(-12.5), np.float64(-5.55))",0.0,0.0,0.0,0.4102520634232818,0.0,0.3085647111207406,0.5752554539531219,polar
1499,149.9,DSP_JCAD_DKO,7,"(np.float64(-6.32), np.float64(-6.28))",0.0,0.0,0.0,0.3226285524389718,0.0,0.3239268605609851,0.545533136115835,lateral
1499,149.9,DSP_JCAD_DKO,8,"(np.float64(-0.0), np.float64(-6.49))",0.0,0.0,0.0,0.3256320578924841,0.0,0.32338622957935287,0.5465993805518319,lateral
1499,149.9,DSP_JCAD_DKO,9,"(np.float64(6.32), np.float64(-6.28))",0.0,0.0,0.0,0.3226285524389718,0.0,0.3239268605609851,0.545533136115835,lateral
1499,149.9,DSP_JCAD_DKO,10,"(np.float64(12.5), np.float64(-5.55))",0.0,0.0,0.0,0.4102520634232818,0.0,0.3085647111207406,0.5752554539531219,polar
1499,149.9,DSP_JCAD_DKO,11,"(np.float64(18.15), np.float64(-3.86))",0.0,0.0,0.0,0.47153693401366026,0.0,0.29998482923808756,0.5887381254830052,polar
1499,149.9,DSP_JCAD_DKO,12,"(np.float64(21.69), np.float64(0.0))",0.0,0.0,0.0,0.5104342004493835,0.0,0.2945392119370863,0.5972955240988644,polar
1499,149.9,DSP_JCAD_DKO,13,"(np.float64(18.15), np.float64(3.86))",0.0,0.0,0.0,0.47153693401366026,0.0,0.29998482923808756,0.5887381254830052,polar
1499,149.9,DSP_JCAD_DKO,14,"(np.float64(12.5), np.float64(5.55))",0.0,0.0,0.0,0.4102520634232818,0.0,0.3085647111207406,0.5752554539531219,polar
1499,149.9,DSP_JCAD_DKO,15,"(np.float64(6.32), np.float64(6.28))",0.0,0.0,0.0,0.32262855243897176,0.0,0.3239268605609851,0.5455331361158349,lateral
1499,149.9,TJP1_JCAD_DKO,0,"(np.float64(-0.0), np.float64(7.27))",0.0,0.0,0.3948024154317218,0.0,0.0,0.5655186883980406,0.31275364976240033,lateral
1499,149.9,TJP1_JCAD_DKO,1,"(np.float64(-5.89), np.float64(6.97))",0.0,0.0,0.3901822649927847,0.0,0.0,0.5642019455229436,0.3134235715760462,lateral
1499,149.9,TJP1_JCAD_DKO,2,"(np.float64(-11.6), np.float64(5.99))",0.0,0.0,0.4825341648268104,0.0,0.0,0.5843321746136302,0.3012705585725146,polar
1499,149.9,TJP1_JCAD_DKO,3,"(np.float64(-16.67), np.float64(3.99))",0.0,0.0,0.5382042873780064,0.0,0.0,0.5960229003493813,0.2940334426408592,polar
1499,149.9,TJP1_JCAD_DKO,4,"(np.float64(-19.59), np.float64(-0.0))",0.0,0.0,0.5687961846833206,0.0,0.0,0.6024471987834973,0.2900564959911683,polar
1499,149.9,TJP1_JCAD_DKO,5,"(np.float64(-16.67), np.float64(-3.99))",0.0,0.0,0.5382042873780064,0.0,0.0,0.5960229003493813,0.2940334426408592,polar
1499,149.9,TJP1_JCAD_DKO,6,"(np.float64(-11.6), np.float64(-5.99))",0.0,0.0,0.48253416482681016,0.0,0.0,0.5843321746136301,0.30127055857251467,polar
1499,149.9,TJP1_JCAD_DKO,7,"(np.float64(-5.89), np.float64(-6.97))",0.0,0.0,0.3901822649927845,0.0,0.0,0.5642019455229436,0.3134235715760462,lateral
1499,149.9,TJP1_JCAD_DKO,8,"(np.float64(-0.0), np.float64(-7.27))",0.0,0.0,0.3948024154317218,0.0,0.0,0.5655186883980406,0.31275364976240033,lateral
1499,149.9,TJP1_JCAD_DKO,9,"(np.float64(5.89), np.float64(-6.97))",0.0,0.0,0.39018226499278463,0.0,0.0,0.5642019455229436,0.3134235715760462,lateral
1499,149.9,TJP1_JCAD_DKO,10,"(np.float64(11.6), np.float64(-5.99))",0.0,0.0,0.48253416482681016,0.0,0.0,0.5843321746136301,0.30127055857251467,polar
1499,149.9,TJP1_JCAD_DKO,11,"(np.float64(16.67), np.float64(-3.99))",0.0,0.0,0.5382042873780063,0.0,0.0,0.5960229003493813,0.2940334426408592,polar
1499,149.9,TJP1_JCAD_DKO,12,"(np.float64(19.59), np.float64(-0.0))",0.0,0.0,0.5687961846833206,0.0,0.0,0.6024471987834973,0.2900564959911683,polar
1499,149.9,TJP1_JCAD_DKO,13,"(np.float64(16.67), np.float64(3.99))",0.0,0.0,0.5382042873780063,0.0,0.0,0.5960229003493813,0.2940334426408592,polar
1499,149.9,TJP1_JCAD_DKO,14,"(np.float64(11.6), np.float64(5.99))",0.0,0.0,0.4825341648268103,0.0,0.0,0.5843321746136301,0.30127055857251467,polar
1499,149.9,TJP1_JCAD_DKO,15,"(np.float64(5.89), np.float64(6.97))",0.0,0.0,0.39018226499278463,0.0,0.0,0.5642019455229436,0.3134235715760462,lateral
